,Comment,topics,c1,d1,c2,d2,c3,d3,c4,d4,missing,c5,Categories,Descriptions,Category Accuracy (%),Description Accuracy (%),Final Score (%),Data Issue Flag
0,"I LOVE Red Hook Lobster (RHL). I live in the DC area and first tried it here, but unfortunately the pandemic hit them hard and resulted in a closure. So, imagine my excitement when the hubby and I visited NY and saw RHL on the list for Smorgasburg. 
We visited RHL's food stall at Smorgasburg on 5/26/2024. I was laser focused on what I wanted upon arrival, yes, I saw there were other restaurants there, but did I care? No. I wanted RHL and basically nothing else!
I ordered the Connecticut roll - it was warm, buttery, with toasty bread and I almost fell down because my knees were weak. I freaking love this roll. After consuming it, I said, hmm, I want more and went back and got the Maine style lobster roll, which is the cold style. Both of these rolls were perfect, but my preference is certainly the Connecticut roll. 
My complaints, well the normal ones, I wish the rolls were double the size and half the price, but 2024 has lobster costing a million dollars a pound, so I get it.","- Category: Food Quality
  - Description: The reviewer loves the Connecticut roll and the Maine style lobster roll from Red Hook Lobster. They describe the Connecticut roll as warm, buttery, with toasty bread and absolutely delicious. 
  - Attitude: Satisfied

- Category: Value for Money
  - Description: The reviewer mentions that they wish the rolls were larger and more affordable, but understand that lobster prices are high in 2024.
  - Attitude: Not fully satisfied",1.0,1.0,1.0,1.0,,,,,,,"['Food Quality', 'Value for Money']","['The reviewer loves the Connecticut roll and the Maine style lobster roll from Red Hook Lobster. They describe the Connecticut roll as warm, buttery, with toasty bread and absolutely delicious.', 'The reviewer mentions that they wish the rolls were larger and more affordable, but understand that lobster prices are high in 2024.']",100.0,100.0,100.0,False
1,"Came here for a quick dinner because it's the start of lobster roll season!! The lobster didn't disappoint. They have a good deal for 2 lobster rolls, appetizer of your choosing and a dessert. I did this with my partner and it was so much food. We also got an order of 2 dozen oysters and let me tell you, those east coast oysters were the best I've ever tasted thus far. We sat outside so the ambiance was NYC street vibes, but it was a cute seafood shack vibe inside. One thing I would say is that they need to get more than 2 unisex bathrooms because that line was longer than life.","- Category: Food Quality
  - Description: Lobster rolls, oysters, and appetizers were delicious.
  - Attitude: Satisfied
  
- Category: Ambiance
  - Description: NYC street vibes and seafood shack vibe inside.
  - Attitude: Satisfied
  
- Category: Cleanliness
  - Description: Long line for only 2 unisex bathrooms.
  - Attitude: Dissatisfied",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Food Quality', 'Ambiance', 'Cleanliness']","['Lobster rolls, oysters, and appetizers were delicious.', 'NYC street vibes and seafood shack vibe inside.', 'Long line for only 2 unisex bathrooms.']",100.0,100.0,100.0,False
2,I was feeling seafood and was super satiated by this meal. It's not the best I've ever had but it was still enjoyable enough to clear everything. Get the biscuits!,"- Category: Food Quality
  - Description: The seafood meal was satisfying but not the best ever.
  - Attitude: Enjoyable

- Category: Menu Choice
  - Description: Recommendation to get the biscuits.
  - Attitude: Positive",1.0,1.0,1.0,1.0,,,,,,,"['Food Quality', 'Menu Choice']","['The seafood meal was satisfying but not the best ever.', 'Recommendation to get the biscuits.']",100.0,100.0,100.0,False
3,"Delicious! So, if you know me, I'm not a huge lobster roll kind of guy. However, my friends are. So we ended up checking this spot out and golly, it was amazing! My friends thoroughly enjoyed the lobster roll! They have an option call ""main event"" which we highly recommend. Best bang for your buck. The staff was very attentive and receptive to our need and the ambience gave you inside a boat vibe!","- Category: Food Quality
  - Description: Lobster roll, particularly the ""main event"" option, was amazing and highly recommended.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Staff was very attentive and receptive to the customers' needs.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: The ambience gave an inside-a-boat vibe.
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Food Quality', 'Customer Service', 'Ambiance']","['Lobster roll, particularly the ""main event"" option, was amazing and highly recommended.', ""Staff was very attentive and receptive to the customers' needs."", 'The ambience gave an inside-a-boat vibe.']",100.0,100.0,100.0,False
4,"Outstanding lobster rolls. Although it's pricey, you do get your money's worth, both in quantity and quality. They have a good drink selection. The service is excellent, the place has a fun atmosphere and good amount of outside seating.","- Category: Food Quality
  - Description: Outstanding lobster rolls, good drink selection
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Although it's pricey, you do get your money's worth, both in quantity and quality
  - Attitude: Satisfied

- Category: Customer Service
  - Description: The service is excellent
  - Attitude: Satisfied

- Category: Ambiance
  - Description: The place has a fun atmosphere and good amount of outside seating
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,"['Food Quality', 'Value for Money', 'Customer Service', 'Ambiance']","['Outstanding lobster rolls, good drink selection', ""Although it's pricey, you do get your money's worth, both in quantity and quality"", 'The service is excellent', 'The place has a fun atmosphere and good amount of outside seating']",100.0,100.0,100.0,False
5,"Been here a handful of times and each time I left just awaiting my next visit. That's how good this spot is. IKEA is in the nabe, so if you're looking for some great grub be on the lookout for this spot. They got a cool setup here a pretty efficient one I might add. Great for groups too with their picnic style seats. Onto the food...this is as close you will get to goin to Maine, so go now. Still thinking about this warm buttery rolls topped with chunks of lobster. Obviously it is expensive and may be a stretch for some, but if you do have the chance...GO!!","- Category: Food Quality
  - Description: Closest you will get to going to Maine with warm buttery rolls topped with chunks of lobster.
  - Attitude: Satisfied
  
- Category: Value for Money
  - Description: Food is expensive and may be a stretch for some.
  - Attitude: Mixed
  
- Category: Ambiance
  - Description: They have a cool setup with picnic style seats, great for groups.
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Food Quality', 'Value for Money', 'Ambiance']","['Closest you will get to going to Maine with warm buttery rolls topped with chunks of lobster.', 'Food is expensive and may be a stretch for some.', 'They have a cool setup with picnic style seats, great for groups.']",100.0,100.0,100.0,False
6,Omg one of the best lobster spots in nyc! Took the ferry from the lower east side just to try this place :D staff is so friendly and amazing environment,"- Category: Food Quality
  - Description: The lobster dishes at this restaurant are top-notch.
  - Attitude: Satisfactory

- Category: Customer Service
  - Description: The staff is extremely friendly.
  - Attitude: Satisfactory

- Category: Ambiance
  - Description: The environment of the restaurant is amazing.
  - Attitude: Satisfactory",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Food Quality', 'Customer Service', 'Ambiance']","['The lobster dishes at this restaurant are top-notch.', 'The staff is extremely friendly.', 'The environment of the restaurant is amazing.']",100.0,100.0,100.0,False
7,"Wow! The quality of lobster is fantastic, probably the best in NYC! They pick up fresh lobster at least once a week from Maine and it shows. Why should you come here? First, their lobster rolls are fresh and delicious, and not too salty or creamy. The chowder and other dishes are also delicious and well balanced. Second, the wait staff is very friendly and attentive, we felt like friends coming over to a neighbor's house to eat. Third, the place is clean and doesn't smell fishy, which is hard to do for a lobster shack! And lastly, the price is a steal for fresh lobster! You can also add lobster meat to each dish, which is a great option. Definitely eat here again!","- Category: Food Quality
  - Description: Fresh lobster, well-balanced and delicious dishes.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Very friendly and attentive wait staff, welcoming atmosphere.
  - Attitude: Satisfied

- Category: Cleanliness
  - Description: Clean establishment with no fishy smell.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Good price for fresh lobster, option to add lobster meat to dishes.
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,"['Food Quality', 'Customer Service', 'Cleanliness', 'Value for Money']","['Fresh lobster, well-balanced and delicious dishes.', 'Very friendly and attentive wait staff, welcoming atmosphere.', 'Clean establishment with no fishy smell.', 'Good price for fresh lobster, option to add lobster meat to dishes.']",100.0,100.0,100.0,False
8,Attentive service good value ordered 100 for my office the lobster was fresh and delicious,"- Category: Customer Service
  - Description: Attentive service good value
  - Attitude: Positive

- Category: Food Quality
  - Description: The lobster was fresh and delicious
  - Attitude: Positive

- Category: Value for Money
  - Description: Ordered 100 for my office
  - Attitude: Positive",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Customer Service', 'Food Quality', 'Value for Money']","['Attentive service good value', 'The lobster was fresh and delicious', 'Ordered 100 for my office']",100.0,100.0,100.0,False
9,"We've gone to RHLP for years and remain fond of the food, the staff and the charming space.  We appreciate their fine product, with almost whatever they must charge to produce it !","- Category: Food Quality
  - Description: The reviewer mentions being fond of the food at RHLP.
  - Attitude: Positive

- Category: Customer Service
  - Description: The reviewer appreciates the staff at RHLP.
  - Attitude: Positive

- Category: Ambiance
  - Description: The reviewer mentions the charming space at RHLP.
  - Attitude: Positive

- Category: Value for Money
  - Description: The reviewer mentions being willing to pay whatever is charged for the fine product.
  - Attitude: Positive",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,"['Food Quality', 'Customer Service', 'Ambiance', 'Value for Money']","['The reviewer mentions being fond of the food at RHLP.', 'The reviewer appreciates the staff at RHLP.', 'The reviewer mentions the charming space at RHLP.', 'The reviewer mentions being willing to pay whatever is charged for the fine product.']",100.0,100.0,100.0,False
