,restaurant_name,Name,Profile Location,Score,Date,Elite 24,Friends,Reviews,Photos,reserved,pictures,checkin,Comment,Helpful,Thanks,Love this,Oh no,Reply Date,Reply Content
339,Serendipity 3,Nisha P.,"Jericho, NY",3,"Apr 28, 2024",no,43,337,2007,no,4 photos,,If you're a tourist definitely make a resy but if you're coming here to relive your memories don't. Nothing is what it used to be - it's not bad - it can't live up to the memories.,0,0,1,0,,
800,Red Hook Lobster Pound,Jessica S.,"New York, NY",5,"Apr 24, 2010",no,0,12,1,no,,,"Hands down the most delicious lobster product I've ever tried. Go for the CT roll- buttery goodness not overwhelmed with mayo.
It's worth your $15.",0,0,0,0,,
823,Red Hook Lobster Pound,Glynis N.,"Brooklyn, NY",1,"May 20, 2023",no,0,3,0,no,,,"Unaware because we weren't told of the $3.00 charge to crack the lobster open, hubby ordered the 1.5lb (not cracked) lobster dinner.   He had such a struggle with the thing it slipped out his hand and landed under my seat.  We let one of the servers know what just happened and he offered to put it back in boiling water to clean it off.  Next time either tell us about the charge to crack the lobster open or don't tell us and just charge because no one should have to fight with food, that should be common sense and who wants to eat it after it's been on the floor.  For me there won't be a next time.",1,0,0,0,"May 23, 2023","Hey Glynis, 
Im so sorry to hear about this experience, Cracking lobster does cost $3 and that should have been explained to you once you asked about it. The Lobster Should have been discarded and we would have been very happy to prepare a new fresh lobster for you and i'm sorry that our server did not offer that. I was able to find your reservation and I will make sure this is handled appropriately. 
I will be reaching out to extend a further apology and I hope we can make things better for you."
248,L & B Spumoni Gardens,Penoro A.,"Brooklyn, NY",5,"Feb 11, 2024",no,8,30,102,no,1 photo,,"Pizza con salsa e mozzarella, si può sedere all'aperto  fuori ci sono molte tavole e sedie e un posto per tutti le età e anche accessibile senza scale",0,0,1,0,,
605,Ippudo NY,Emily B.,"Middle Island, NY",4,"May 17, 2024",no,307,177,935,no,3 photos,yes,"This place was pretty good.
Stopped here before my concert for dinner and it definitely hit the spot. I wasn't a fan of the gyoza it lacked flavor in my opinion but the ramen was delicious.
My two downsides were the shared seating, this can definitely get awkward and I'd say 75% of the spot is shared. As well as the bamboo shoots tasted liked they came from a can :/ very metallic taste to them and not at all how I've had in the past.
However the ambiance is welcoming and relaxed. Our server was attentive and quick and food came out fast!
Definitely make a reservation. Even during the week. Menu has some food options but I wouldn't see myself coming back here. There's a lot of great ramen spots in NYC and this is just alright.",5,1,4,0,,
182,Amy Ruth’s,Yemi C.,"Highland Falls, NY",4,"Apr 17, 2023",no,105,54,562,no,8 photos,,"Nostalgic Harlem location with Soul Food menu. Inviting decor and great staff. Great for dates, families and friend hangouts.",1,0,1,0,,
141,Amy Ruth’s,Kathy X.,"Manhattan, NY",4,"Oct 14, 2023",no,1235,1062,24361,no,10 photos,,"This is an iconic restaurant in Harlem, serving home style Southern cuisine. The interior was colorful and spacious, with star lights hanging from the ceiling, paintings of famous folks on the wall, including Obama, Oprah, Michael Jackson, and more.
My friend and I came for brunch. We were served warm cornbread, which was buttery and moist. I ordered the Waffle and Fried Pork Chop. The waffle and nicely crunchy and fluffy. The pork chop was perfectly crispy, tender, as well as wonderfully juicy. 
Service was pretty good. Prices were decent. I would be open to returning to try the Fisherman's Platter (fried shrimp, catfish, crab cake) or BBQ Pork spare ribs with Candied Yams and Mac & Cheese.",4,3,7,0,,
90,LoveMama,Lindsey E.,"SC, SC",5,"Jan 15, 2024",no,0,2,0,no,,,Food was amazing! Very friendly and very quick truly a must have if you're near by! The place is very clean and has a nice and quiet vibe that was very relaxing will defiantly come back again!,0,1,0,0,,
545,The Halal Guys,Jared S.,"Bluffton, SC",5,"Nov 26, 2023",no,0,39,0,no,,,"It's the Halal guys -  I mean what the hell. Everywhere now but if you want the real deal you gotta go to Mecca, or in This case 53rd and 6th Ave for the lamb. Enough said.",1,1,1,0,"Nov 26, 2023"," Thank you for the positive comments about The Halal Guys! We are lucky to have customers like you! If we can ever do anything to make your experience even better, feel free to contact us directly."
308,Serendipity 3,Penny W.,"Redondo Beach, CA",5,"Jun 25, 2024",no,0,4,3,no,3 photos,,A special treat in NYC! Staff was awesome.  Ice cream delicious and fun.  Decor was amazing.,0,0,0,0,,
584,The Halal Guys,Carmi A.,"FLUSHING, NY",4,"Jul 12, 2023",no,34,82,523,no,,,"I got da combbo platta so deelishus, I'm looking forward to taking my family here for Easter dinner. They will like",0,0,0,0,"Jul 12, 2023","Hi Carmi, thank you for sharing your wonderful review about The Halal Guys! We are happy to have served you, please feel free to reach out to our team if you have any additional feedback."
483,Buddakan,Kevin K.,"New York, NY",2,"Dec 31, 2023",no,229,21,2,no,,,"I don't see the hype. The vibes are nice, the decor is top notch but the food left a lot to be desired. We were served a cold fried rice The rest was of the food was alright. None of it was bad but none of it was worth writing home about either. Its okay.",0,0,0,0,,
