restaurant_name,Name,Profile Location,Score,Date,Elite 24,Friends,Reviews,Photos,reserved,pictures,checkin,Comment,Helpful,Thanks,Love this,Oh no,Reply Date,Reply Content,topics
LoveMama,Mars M.,"Cypress, CA",5,"Mar 21, 2024",no,206,13,7,yes,,,The best pad thai I've ever had!! A true mom and pop shop no wait staff just husband and wife working hard together serving the most delicious perfectly spiced authentic dishes. Super fast service and every single thing we ate was amazing. I'm so happy I got to try it I will be sure to come back every time I visit NYC!,0,0,0,0,,,"- Category: Food Quality
  - Description: Delicious, perfectly spiced authentic dishes.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Husband and wife working hard together, no wait staff.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: Mom and pop shop setting.
  - Attitude: Satisfied

- Category: Order Accuracy and Efficiency
  - Description: Super fast service, every dish was amazing.
  - Attitude: Satisfied"
LoveMama,Remy L.,"Portland, OR",5,"Mar 18, 2024",no,251,46,30,yes,,,"Service is excellent and quick, the owners are so kind. The Tom yum soup was 10/10 and the pad see ew was",0,0,1,0,,,"- Category: Food Quality
  - Description: Tom yum soup was rated 10/10.
  - Attitude: satisfied

- Category: Customer Service
  - Description: Service is described as excellent and quick, owners are kind.
  - Attitude: satisfied"
LoveMama,Liam C.,"CA, CA",5,"Mar 18, 2024",no,0,3,0,no,,,"fantastic food for very low prices. the service is always fast and friendly, one of the best restaurants to visit in manhattan!",0,0,0,0,,,"- Category: Food Quality
  - Description: Fantastic food for very low prices.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: The service is always fast and friendly.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Very low prices.
  - Attitude: Satisfied"
LoveMama,Mallory S.,"Ames, IA",5,"Mar 17, 2024",no,179,75,62,no,,,"Really fast, and good! Great service, no frills and more than reasonable pricing. Good GF options and great veg options, rich, nutty and authentic flavors. We loved the spring rolls and the red curry over rice was fantastic!",0,0,0,0,,,"- Category: Food Quality
  - Description: Good GF options and great veg options, rich, nutty and authentic flavors, loved the spring rolls and red curry over rice.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Reasonable pricing for the good service and food quality.
  - Attitude: Satisfied

- Category: Order Accuracy and Efficiency
  - Description: Really fast service, no frills.
  - Attitude: Satisfied"
LoveMama,Syed A.,"New York, NY",5,"Mar 16, 2024",no,0,1,1,no,,,"Food was great, well priced, service was amazing and very quick. I had the rendang nasi lemak with chicken and it was great.",0,0,0,0,,,"- Category: Food Quality
  - Description: Food was great, especially the rendang nasi lemak with chicken.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Well priced.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Service was amazing and very quick.
  - Attitude: Satisfied"
LoveMama,Eden D.,"New York, NY",5,"Mar 16, 2024",no,0,2,0,no,,,These niggas cook like my mom. Made me feel at home with my niggas. One died a while ago. Rest in peace big D,0,0,0,0,,,"- Category: Food Quality
  - Description: Likening the food to homemade cooking.
  - Attitude: Satisfied
- Category: Ambiance
  - Description: Mention of feeling at home with friends.
  - Attitude: Satisfied"
LoveMama,Lu L.,"Manhattan, New York, NY",5,"Mar 15, 2024",no,0,2,1,no,,,"great food, affordable, nice people! one of my fav local spots to go to regularly. their food is really flavorful and authentic",0,0,0,0,,,"- Category: Food Quality
  - Description: Flavorful and authentic food.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Affordable pricing.
  - Attitude: Satisfied"
LoveMama,Sophie B.,"New York, NY",4,"Mar 15, 2024",no,326,34,0,yes,,,"Straightforward Thai, Malaysian, and Vietnamese restaurant. Came in because it was so rated highly and rightfully so. The service was very friendly and the food came out super fast and hot. Out of the appetizers we got, I would pass on the Papaya Salad and Paratha. While the Paratha was good, I just wish they gave you more than one piece. But the Vietnamese dumplings, Thai iced tea, and entrees were a 10/10. The only thing I didn't love was that everything came out on plastic. But this will be a spot I'll come back to!",0,0,0,0,,,"- Category: Food Quality
  - Description: Vietnamese dumplings, Thai iced tea, and entrees were rated 10/10.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Service was very friendly.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: Everything came out on plastic.
  - Attitude: Not satisfied"
LoveMama,Chen Z.,"Manhattan, New York, NY",5,"Mar 15, 2024",no,0,3,1,no,1 photo,,Great food! Authentic! Nice people! Good quiet atmosphere! Will come back again! In general love this place,0,0,0,0,,,"- Category: Food Quality
  - Description: Great food! Authentic!
  - Attitude: Satisfied

- Category: Ambiance
  - Description: Good quiet atmosphere
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Nice people
  - Attitude: Satisfied

- Category: Value for Money
  - Description: In general love this place
  - Attitude: Satisfied"
LoveMama,Angelina C.,"Brooklyn, Brooklyn, NY",5,"Mar 13, 2024",no,0,2,1,no,1 photo,,"Good food, good service, good vibes. Recommend getting the lunch special: appetizer with entree for $12. I got the pad thai with 1 spring roll and it was really yummy!",0,0,0,0,,,"- Category: Food Quality
  - Description: Review mentions the pad thai and spring roll being really yummy.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Recommends getting the lunch special which includes an appetizer and entree for $12.
  - Attitude: Satisfied"
