,restaurant_name,Name,Profile Location,Score,Date,Elite 24,Friends,Reviews,Photos,reserved,pictures,checkin,Comment,Helpful,Thanks,Love this,Oh no,Reply Date,Reply Content
380,Serendipity 3,Lindsey H.,"Salt Lake City, UT",2,"Feb 17, 2024",no,88,163,232,no,8 photos,,"The 13 year old girl in me loved this place. The 40 year old woman can see through the gimmicks and could appreciate it for what it is- a pure novelty riding on its history and place as a tourist trap. 
Fun atmosphere but really checked out and disinterested wait staff. They try to take photos of you and sell a souvenir photo which is NOT my cup of tea (frozen OR hot). 
The frozen hot chocolate was great. I wish we would have stopped there but they require a $19 purchase per person. 
We had the cauliflower appetizer (too small but tasted fine) and the loaded fries (meh). 
Do not. I REPEAT DO NOT get a pina colada. 
Super pricey and yes, disappointing if you go in with unrealistic expectations. Wouldn't return or recommend but I had to go and I get why you want to too.",0,0,0,0,,
369,Serendipity 3,Cristy M.,"Miami, FL",4,"Mar 11, 2024",no,1,101,10,no,,,"As long as you know what you're getting yourself into, you'll be fine. This place has been around forever but it's never been known for great food. The best thing we had was their famous Frozen Hot Chocolate. Only finished half of a burger and some of the appetizers. We didn't even eat fries as they tasted like they'd been cooked in old oil. 
Service was great and kept them at 4 stars. Cute place, cute merch.",2,0,0,0,,
848,Red Hook Lobster Pound,Elaine G.,"Brooklyn, NY",4,"Jul 30, 2016",no,2,18,4,no,,,"Went today for my fiancé birthday and I must say it was a great experience. Our waiter was amazing. He was attentive , gave his own recommendation and even told me if I didn't like something he can exchange it for me. Luckily, everything We had was good. I ordered the BLT lobster roll with a lemonade. Hubby ordered the classic Maine lobster roll and a beer. My daughter ordered Mac and cheese. The rolls came with a lot of meat, juicy and flavorful. The sweet potato fries were good and we enjoyed the slaw and pickle. My daughter enjoyed the Mac and cheese too. 
For dessert we had the banana bread pudding. It was a bit sweet but still  very Delish and had pieces of bananas in it. ThEy brought it with a candle and sang happy bday. Would def come back again! Only thing wish their prices were a bit more reasonable.",0,0,0,0,,
579,The Halal Guys,Akira A.,"Century City, Los Angeles, CA",5,"Aug 14, 2023",no,0,5,1,no,,,"Love this place, best street food in NY. If you are looking for gyros this is the place to go.",0,0,0,0,"Aug 15, 2023"," Hi Akira, thanks for the 5-star review! We appreciate you taking the time out of your day to rate The Halal Guys."
728,Artichoke Basille’s Pizza,Jazmine B.,"Long Island, NY",5,"Jan 9, 2024",no,51,95,162,no,,,"Since you're wondering...
Every single time I come to Artichoke, the pizza is a great. I love pizza and find that I am pretty judge-y when it comes to NYC pizza and this place never disappoints. 
I typically get a pepperoni slice. I love that it has plenty of pepperoni for each bite and that the slice is really large and in charge. The crust is think, and cooked a little burnt which is my preference, and the rest of the dough is nice and thin. 
On my last visit I also ordered an artichoke slice, had to see what was in the name, and it didn't disappoint. It was messy, probably because of the different cheeses melting together and had a decent flavor. Although good, I think I'll stick with my usual pepperoni. 
The price is where you might consider not ordering but for the size of the slice, I think its worth it. Service is usually ok, fats paced, and ambiance is typical pizzeria.",1,0,0,0,,
201,L & B Spumoni Gardens,Sophia S.,"Los Angeles, CA",5,"Jun 26, 2024",no,175,352,687,no,4 photos,,All their pastas are delicious. Glad we did family style so we got to try different pastas. The bolognese and Alfredo were my favorites. Also had to get the pizza with pepperoni..I believe what's pictured is the half sheet.,0,0,0,0,,
901,Di Fara Pizza,Stefanie T.,"Houston, TX",5,"Jun 22, 2024",no,0,7,0,no,,,Exactly what you expect and want NYC pizza to taste like! Great balance of crisp and dough with fresh sauce adding the right flavor to pair with the cheese and toppings.,0,0,0,0,,
37,LoveMama,Masataka M.,"Manhattan, New York, NY",5,"Mar 28, 2024",no,162,2,0,no,,,"Love the thai chicken wings, very nicely seasoned and crisp skin and flavorful pad kee mao",0,0,0,0,,
4,LoveMama,Lynn P.,"Los Angeles, CA",5,"Jun 3, 2024",no,0,3,0,yes,,,All the food we ordered was tasty and the service was 11/10! I'd definitely love to visit again :),0,0,0,0,,
590,The Halal Guys,Richard L.,"Los Angeles, CA",5,"Jun 22, 2023",no,29,29,40,no,1 photo,,"Dishful meat and chicken!
$11 for combo platter (06.2023)
Be careful their red hot sauce",1,0,0,0,"Jun 24, 2023","Hi Richard L.! Thank you for taking the time to rate and review us. We are happy to hear of your love for our food and truly appreciate your support. We look forward to your next visit!
The Halal Guys"
153,Amy Ruth’s,Yesenia M.,"Manhattan, NY",5,"Aug 19, 2023",no,1,5,0,no,,,"Great food, great service, great prices! We there for a mommy daughter date and it was amazing!",0,0,1,0,,
172,Amy Ruth’s,Danace Y.,"Albuquerque, NM",5,"May 31, 2023",no,19,237,684,no,3 photos,,"Amy Ruth:
This place is a Mecca for waffles and fried chicken. If there's one place to eat in NYC that is a must, it's Amy Ruth's. The waffles are so soft, buttery melt in your mouth and the fried chicken has a magic thin layer of breading that is perfect. If there's a plate of perfection, this is it. The portion is so huge, such a great value that me and my husband share this dish and we barely finish it. They also give you a complimentary best corn bread on the house. The cobblers are also a hit.",1,1,3,1,,
936,Di Fara Pizza,Rafael S.,"Marine Park, Brooklyn, NY",3,"Jan 17, 2024",no,0,2,0,no,,,"Way tooooo expensive, and also please renovate your facility I think you can afford it",0,0,0,0,,
42,LoveMama,Liam C.,"CA, CA",5,"Mar 18, 2024",no,0,3,0,no,,,"fantastic food for very low prices. the service is always fast and friendly, one of the best restaurants to visit in manhattan!",0,0,0,0,,
641,Ippudo NY,Livia X.,"New York, NY",5,"Feb 16, 2024",no,0,25,101,no,2 photos,,"Ordered the Karaka spicy ramen with side of the Bakudan, an egg, and corn & shrimp bun to start. 
Fantastic meal, as always. The natural white wine was great as well.
Addendum to my first post-- reservations can be booked for east village & west side locations on resy!",1,1,2,0,,
